ANCIEN CHEMIN	ACH
AERODROME	AER
AGGLOMERATION	AGL
AIRE	AIRE
ALLEE	ALL
ANGLE	ANGL
ARCADE	ARC
ANCIENNE ROUTE	ART
AUTOROUTE	AUT
AVENUE	AV
BASE	BASE
BOULEVARD	BD
BERGE	BER
BORD	BORD
BARRIERE	BRE
BOURG	BRG
BRETELLE	BRTL
BASSIN	BSN
CARRIERA	CAE
CALLE	CALL
CAMIN	CAMI
CAMP	CAMP
CANAL	CAN
CARREFOUR	CAR
CARRIERE	CARE
CASERNE	CASR
CHEMIN COMMUNAL	CC
CHEMIN DEPARTEMENTAL	CD
CHEMIN FORESTIER	CF
CHASSE	CHA
CHEM	CHE
CHEMIN	CHE
CHEMINEMENT	CHE
CHALET	CHL
CHAMP	CHP
CHAUSSEE	CHS
CHATEAU	CHT
CHEMIN VICINAL	CHV
CITE	CITE
COURSIVE	CIVE
CLOS	CLOS
COULOIR	CLR
COIN	COIN
COL	COL
CORNICHE	COR
CORON	CORO
COTE	COTE
COUR	COUR
CAMPING	CPG
CHEMIN RURAL	CR
COURS	CRS
CROIX	CRX
CONTOUR	CTR
CENTRE	CTRE
DARSE	DARS
DEVIATION	DEVI
DIGUE	DIG
DOMAINE	DOM
DRAILLE	DRA
DESCENTE	DSC
ÉCART	ECA
ECLUSE	ECL
EMBRANCHEMENT	EMBR
ENCLOS	ENC
ENCLAVE	ENV
ESCALIER	ESC
ESPLANADE	ESP
ESPACE	ESPA
ETANG	ETNG
FOND	FD
FAUBOURG	FG
FONTAINE	FON
FORT	FORT
FOSSE	FOS
FERME	FRM
GALERIE	GAL
GARE	GARE
GRAND BOULEVARD	GBD
GRAND PLACE	GPL
GR GRANDE RUE	GR
GRANDE RUE	GR
HABITATION	HAB
HAMEAU	HAM
HALLE	HLE
HALAGE	HLG
HLM	HLM
ÎLE	ILE
ILOT	ILOT
IMPASSE	IMP
JARDIN	JARD
JETEE	JTE
LAC	LAC
LEVEE	LEVE
LICES	LICE
LIGNE	LIGN
LOTISSEMENT	LOT
MAIL	MAIL
MAISON	MAIS
MARCHE	MAR
MAS	MAS
MARINA	MRN
MONTEE	MTE
NOUVELLE ROUTE	NTE
PETITE AVENUE	PAE
PARC	PARC
PASSAGE	PAS
PASSE	PASS
PCH PETIT CHEMIN	PCH
PETIT CHEMIN	PCH
PHARE	PHAR
PISTE	PIST
PARKING	PKG
PLACE	PL
PLACA	PLA
PLAGE	PLAG
PLAN	PLAN
PLACIS	PLCI
PASSERELLE	PLE
PLAINE	PLN
PLATEAU	PLT
POINTE	PNT
PONT	PONT
PORTIQUE	PORQ
PORT	PORT
POSTE	POST
POTERNE	POT
PROMENADE	PROM
PETITE ROUTE	PRT
PARVIS	PRV
PETITE ALLEE	PTA
PORTE	PTE
PETITE RUE	PTR
PTR PETITE RUE	PTR
PLACETTE	PTTE
QUARTIER	QUA
QUAI	QUAI
RACCOURCI	RAC
REMPART	REM
RESIDENCE	RES
RIVE	RIVE
RUELLE	RLE
ROCADE	ROC
RAMPE	RPE
ROND POINT	RPT
ROTONDE	RTD
ROUTE	RTE
RUE	RUE
RUETTE	RUET
RUISSEAU	RUIS
RUELLETTE	RULT
RAVINE	RVE
SAS	SAS
SENTIER	SEN
SQUARE	SQ
STADE	STDE
TOUR	TOUR
TERRE PLEIN	TPL
TRAVERSE	TRA
TRABOULE	TRAB
TERRAIN	TRN
TERTRE	TRT
TERRASSE	TSSE
TUNNEL	TUN
VAL	VAL
VALLON	VALL
VOIE COMMUNALE	VC
VIEUX CHEMIN	VCHE
VENELLE	VEN
VILLAGE	VGE
VIA	VIA
VIADUC	VIAD
VILLE	VIL
VILLA	VLA
VOIE	VOIE
VOIRIE	VOIR
VOUTE	VOUT
VOYEUL	VOY
VIEILLE ROUTE	VTE
ZA	ZA
ZAC	ZAC
ZAD	ZAD
ZI	ZI
ZONE	ZONE
ZUP	ZUP
